# MEAN_SAMPLE_SIZE = 2613
# TOTAL_GENES = 14594
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Mammary_Gland.Endothelial_ce...1      COVAR   14594     -0.14276    -0.019748     0.092087      0.93945 Mammary_Gland.Endothelial_cell
Mammary_Gland.Endothelial_ce...2      COVAR   14594    -0.027873   -0.0033633       0.1089        0.601 Mammary_Gland.Endothelial_cell_Aqp1_high
Mammary_Gland.Endothelial_ce...4      COVAR   14594     0.084635    0.0087137      0.13351      0.26307 Mammary_Gland.Endothelial_cell_Fabp4_high
Mammary_Gland.Endothelial_ce...3      COVAR   14594    -0.095494    -0.013331     0.086134       0.8662 Mammary_Gland.Endothelial_cell_Fabp4.Aqp1_high
Mammary_Gland.Endothelial_ce...5      COVAR   14594     -0.17509    -0.019763      0.10927      0.94546 Mammary_Gland.Endothelial_cell_Glycam1_high
Mammary_Gland.Luminal_cell            COVAR   14594    -0.023105   -0.0030021      0.13521      0.56784 Mammary_Gland.Luminal_cell
Mammary_Gland.Luminal_cell_K...       COVAR   14594      0.08647     0.013902      0.11409      0.22426 Mammary_Gland.Luminal_cell_Krt19_high_
Mammary_Gland.Luminal_progen...       COVAR   14594     0.052334    0.0080587      0.10775       0.3136 Mammary_Gland.Luminal_progenitor
Mammary_Gland.Macrophage              COVAR   14594      0.16469     0.036214     0.082911     0.023504 Mammary_Gland.Macrophage
Mammary_Gland.Macrophage_Apo...       COVAR   14594      0.21192     0.024259      0.11957     0.038179 Mammary_Gland.Macrophage_Apoe_high
Mammary_Gland.Macrophage_C1q...1      COVAR   14594      0.18137     0.012154      0.16381      0.13411 Mammary_Gland.Macrophage_C1qb_high
Mammary_Gland.Macrophage_C1q...2      COVAR   14594      0.19773     0.023613      0.13276     0.068204 Mammary_Gland.Macrophage_C1qc_high
Mammary_Gland.Macrophage_Cd7...       COVAR   14594      0.19032    0.0092363      0.31685      0.27404 Mammary_Gland.Macrophage_Cd74_high
Mammary_Gland.Macrophage_Lyz...       COVAR   14594      0.14095     0.017442      0.14747       0.1696 Mammary_Gland.Macrophage_Lyz1_high
Mammary_Gland.Macrophage_Pf4...       COVAR   14594      0.18101     0.018158      0.14237       0.1018 Mammary_Gland.Macrophage_Pf4_high
Mammary_Gland.Macrophage_Plb...       COVAR   14594      0.22384     0.027662      0.12516      0.03686 Mammary_Gland.Macrophage_Plbd1_high
Mammary_Gland.Macrophage_Ret...       COVAR   14594      0.28358     0.033011      0.14166      0.02266 Mammary_Gland.Macrophage_Retnla_high
Mammary_Gland.Mast_cell               COVAR   14594   -0.0061563  -0.00069954       0.0973      0.52522 Mammary_Gland.Mast_cell
Mammary_Gland.Muscel_cell             COVAR   14594      0.25517     0.017541      0.15621     0.051197 Mammary_Gland.Muscel_cell
