# MEAN_SAMPLE_SIZE = 2613
# TOTAL_GENES = 14594
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Mammary_Gland_Virgin.Luminal...2      COVAR   14594     0.038795     0.005974      0.10446      0.35517 Mammary_Gland_Virgin.Luminal_progenitor
Mammary_Gland_Virgin.Macroph...1      COVAR   14594      0.16547     0.019761      0.12502     0.092831 Mammary_Gland_Virgin.Macrophage_C1qc_high
Mammary_Gland_Virgin.Macroph...2      COVAR   14594        0.107     0.013242      0.13619      0.21602 Mammary_Gland_Virgin.Macrophage_Lyz1_high
Mammary_Gland_Virgin.NK_cell          COVAR   14594    -0.036807   -0.0039377      0.14005      0.60365 Mammary_Gland_Virgin.NK_cell
Mammary_Gland_Virgin.Stem_an...       COVAR   14594    -0.059703   -0.0066901      0.13323      0.67296 Mammary_Gland_Virgin.Stem_and_progenitor_cell
Mammary_Gland_Virgin.Stromal...1      COVAR   14594     -0.24826    -0.030489      0.12686      0.97481 Mammary_Gland_Virgin.Stromal_cell_Col3a1_high
Mammary_Gland_Virgin.Stromal...2      COVAR   14594     -0.21447    -0.029686      0.10439      0.98003 Mammary_Gland_Virgin.Stromal_cell_Pi16_high
Mammary_Gland_Virgin.T_cell_...1      COVAR   14594     -0.17596     -0.01638      0.16142      0.86214 Mammary_Gland_Virgin.T_cell_Cd8b1_high
Mammary_Gland_Virgin.T_cell_...2      COVAR   14594     -0.15651    -0.015627      0.14944      0.85252 Mammary_Gland_Virgin.T_cell_Ly6c2_high
Mammary_Gland_Virgin.T.cells...       COVAR   14594    -0.093014    -0.010277      0.14116      0.74502 Mammary_Gland_Virgin.T.cells_Ctla4_high
