Index PThresh FE EmpPval NAnnotThesh NAnnot NThresh N Annotation Celltype Tissue Category 
15 1e-07 6.54837 0 26 154099 39 1513647 cmc_eQTL_fdr0.05.chrpos dlpfc_eQTL cmc all all2
15 1e-08 7.07224 0 18 154099 25 1513647 cmc_eQTL_fdr0.05.chrpos dlpfc_eQTL cmc all all2
16 0.1 1.15992 -1 20316 167328 158441 1513647 cmc_isoQTL_fdr0.05.chrpos dlpfc_isoQTL cmc all all2
16 0.01 1.55499 -1 3072 167328 17871 1513647 cmc_isoQTL_fdr0.05.chrpos dlpfc_isoQTL cmc all all2
16 0.001 2.1653 -1 574 167328 2398 1513647 cmc_isoQTL_fdr0.05.chrpos dlpfc_isoQTL cmc all all2
16 0.0001 3.37661 -1 162 167328 434 1513647 cmc_isoQTL_fdr0.05.chrpos dlpfc_isoQTL cmc all all2
16 1e-05 4.70391 0 78 167328 150 1513647 cmc_isoQTL_fdr0.05.chrpos dlpfc_isoQTL cmc all all2
16 1e-06 3.91178 4e-05 32 167328 74 1513647 cmc_isoQTL_fdr0.05.chrpos dlpfc_isoQTL cmc all all2
16 1e-07 3.71117 0.00615006 16 167328 39 1513647 cmc_isoQTL_fdr0.05.chrpos dlpfc_isoQTL cmc all all2
16 1e-08 2.89472 0.178218 8 167328 25 1513647 cmc_isoQTL_fdr0.05.chrpos dlpfc_isoQTL cmc all all2
17 0.1 1.17369 -1 1010 8221 158441 1513647 cmc_sQTL_fdr0.05 dlpfc_sQTL cmc all all2
17 0.01 2.08115 -1 202 8221 17871 1513647 cmc_sQTL_fdr0.05 dlpfc_sQTL cmc all all2
17 0.001 2.68732 -1 35 8221 2398 1513647 cmc_sQTL_fdr0.05 dlpfc_sQTL cmc all all2
17 0.0001 4.24239 -1 10 8221 434 1513647 cmc_sQTL_fdr0.05 dlpfc_sQTL cmc all all2
17 1e-05 9.81971 0.00249875 8 8221 150 1513647 cmc_sQTL_fdr0.05 dlpfc_sQTL cmc all all2
17 1e-06 17.4167 0.000128934 7 8221 74 1513647 cmc_sQTL_fdr0.05 dlpfc_sQTL cmc all all2
17 1e-07 18.8841 0.0031736 4 8221 39 1513647 cmc_sQTL_fdr0.05 dlpfc_sQTL cmc all all2
17 1e-08 14.7296 0.0315457 2 8221 25 1513647 cmc_sQTL_fdr0.05 dlpfc_sQTL cmc all all2
18 0.1 1.16465 -1 13273 108876 158441 1513647 fairfax_cis_fdr0.05 mono_cis fairfax all all2
18 0.01 1.52475 -1 1960 108876 17871 1513647 fairfax_cis_fdr0.05 mono_cis fairfax all all2
18 0.001 2.18567 -1 377 108876 2398 1513647 fairfax_cis_fdr0.05 mono_cis fairfax all all2
18 0.0001 3.74791 -1 117 108876 434 1513647 fairfax_cis_fdr0.05 mono_cis fairfax all all2
18 1e-05 5.56099 0 60 108876 150 1513647 fairfax_cis_fdr0.05 mono_cis fairfax all all2
18 1e-06 6.01189 0 32 108876 74 1513647 fairfax_cis_fdr0.05 mono_cis fairfax all all2
18 1e-07 8.55538 0 24 108876 39 1513647 fairfax_cis_fdr0.05 mono_cis fairfax all all2
18 1e-08 9.45369 0 17 108876 25 1513647 fairfax_cis_fdr0.05 mono_cis fairfax all all2
19 0.1 1.11643 -1 15215 130196 158441 1513647 immvar_cd14_eQTL_p1e-3 mono_eQTL immvar all all2
19 0.01 1.38957 -1 2136 130196 17871 1513647 immvar_cd14_eQTL_p1e-3 mono_eQTL immvar all all2
19 0.001 1.83746 -1 379 130196 2398 1513647 immvar_cd14_eQTL_p1e-3 mono_eQTL immvar all all2
19 0.0001 2.8663 -1 107 130196 434 1513647 immvar_cd14_eQTL_p1e-3 mono_eQTL immvar all all2
19 1e-05 3.72029 0 48 130196 150 1513647 immvar_cd14_eQTL_p1e-3 mono_eQTL immvar all all2
19 1e-06 4.87031 0 31 130196 74 1513647 immvar_cd14_eQTL_p1e-3 mono_eQTL immvar all all2
19 1e-07 6.85631 0 23 130196 39 1513647 immvar_cd14_eQTL_p1e-3 mono_eQTL immvar all all2
19 1e-08 6.97555 0 15 130196 25 1513647 immvar_cd14_eQTL_p1e-3 mono_eQTL immvar all all2
20 0.1 -nan -1 0 0 158441 1513647 immvar_cd14_sQTL_p1e-12 mono_sQTL immvar all all2
20 0.01 -nan -1 0 0 17871 1513647 immvar_cd14_sQTL_p1e-12 mono_sQTL immvar all all2
20 0.001 -nan -1 0 0 2398 1513647 immvar_cd14_sQTL_p1e-12 mono_sQTL immvar all all2
20 0.0001 -nan -1 0 0 434 1513647 immvar_cd14_sQTL_p1e-12 mono_sQTL immvar all all2
20 1e-05 -nan 1 0 0 150 1513647 immvar_cd14_sQTL_p1e-12 mono_sQTL immvar all all2
20 1e-06 -nan 1 0 0 74 1513647 immvar_cd14_sQTL_p1e-12 mono_sQTL immvar all all2
20 1e-07 -nan 1 0 0 39 1513647 immvar_cd14_sQTL_p1e-12 mono_sQTL immvar all all2
20 1e-08 -nan 1 0 0 25 1513647 immvar_cd14_sQTL_p1e-12 mono_sQTL immvar all all2
21 0.1 1.09849 -1 12850 111754 158441 1513647 immvar_cd4_eQTL_p1e-3 tcel_eQTL immvar all all2
21 0.01 1.4385 -1 1898 111754 17871 1513647 immvar_cd4_eQTL_p1e-3 tcel_eQTL immvar all all2
21 0.001 2.03336 -1 360 111754 2398 1513647 immvar_cd4_eQTL_p1e-3 tcel_eQTL immvar all all2
21 0.0001 3.37051 -1 108 111754 434 1513647 immvar_cd4_eQTL_p1e-3 tcel_eQTL immvar all all2
21 1e-05 4.51482 0 50 111754 150 1513647 immvar_cd4_eQTL_p1e-3 tcel_eQTL immvar all all2
21 1e-06 4.57583 1e-05 25 111754 74 1513647 immvar_cd4_eQTL_p1e-3 tcel_eQTL immvar all all2
21 1e-07 4.16752 0.00778816 12 111754 39 1513647 immvar_cd4_eQTL_p1e-3 tcel_eQTL immvar all all2
21 1e-08 4.33423 0.013624 8 111754 25 1513647 immvar_cd4_eQTL_p1e-3 tcel_eQTL immvar all all2
22 0.1 1.22849 -1 4524 35181 158441 1513647 rosmap_eQTL_fdr0.05 dlpfc_eQTL rosmap all all2
22 0.01 1.82489 -1 758 35181 17871 1513647 rosmap_eQTL_fdr0.05 dlpfc_eQTL rosmap all all2
22 0.001 2.70922 -1 151 35181 2398 1513647 rosmap_eQTL_fdr0.05 dlpfc_eQTL rosmap all all2
22 0.0001 4.2628 -1 43 35181 434 1513647 rosmap_eQTL_fdr0.05 dlpfc_eQTL rosmap all all2
22 1e-05 5.73661 0.000218341 20 35181 150 1513647 rosmap_eQTL_fdr0.05 dlpfc_eQTL rosmap all all2
22 1e-06 9.30261 0 16 35181 74 1513647 rosmap_eQTL_fdr0.05 dlpfc_eQTL rosmap all all2
22 1e-07 11.0319 8e-05 10 35181 39 1513647 rosmap_eQTL_fdr0.05 dlpfc_eQTL rosmap all all2
22 1e-08 6.88393 0.0793651 4 35181 25 1513647 rosmap_eQTL_fdr0.05 dlpfc_eQTL rosmap all all2
23 0.1 1.21729 -1 1626 12761 158441 1513647 rosmap_haQTL_fdr0.05 dlpfc_haQTL rosmap all all2
23 0.01 1.5664 -1 236 12761 17871 1513647 rosmap_haQTL_fdr0.05 dlpfc_haQTL rosmap all all2
23 0.001 1.28607 -1 26 12761 2398 1513647 rosmap_haQTL_fdr0.05 dlpfc_haQTL rosmap all all2
23 0.0001 1.63984 -1 6 12761 434 1513647 rosmap_haQTL_fdr0.05 dlpfc_haQTL rosmap all all2
23 1e-05 0.790767 0.960396 1 12761 150 1513647 rosmap_haQTL_fdr0.05 dlpfc_haQTL rosmap all all2
23 1e-06 1.60291 0.831683 1 12761 74 1513647 rosmap_haQTL_fdr0.05 dlpfc_haQTL rosmap all all2
23 1e-07 0 1 0 12761 39 1513647 rosmap_haQTL_fdr0.05 dlpfc_haQTL rosmap all all2
23 1e-08 0 1 0 12761 25 1513647 rosmap_haQTL_fdr0.05 dlpfc_haQTL rosmap all all2
24 0.1 1.0948 -1 10802 94260 158441 1513647 rosmap_mQTL_fdr0.05 dlpfc_mQTL rosmap all all2
24 0.01 1.29752 -1 1444 94260 17871 1513647 rosmap_mQTL_fdr0.05 dlpfc_mQTL rosmap all all2
24 0.001 1.87502 -1 280 94260 2398 1513647 rosmap_mQTL_fdr0.05 dlpfc_mQTL rosmap all all2
24 0.0001 2.73804 -1 74 94260 434 1513647 rosmap_mQTL_fdr0.05 dlpfc_mQTL rosmap all all2
24 1e-05 4.4963 0 42 94260 150 1513647 rosmap_mQTL_fdr0.05 dlpfc_mQTL rosmap all all2
24 1e-06 6.72709 0 31 94260 74 1513647 rosmap_mQTL_fdr0.05 dlpfc_mQTL rosmap all all2
24 1e-07 8.23498 0 20 94260 39 1513647 rosmap_mQTL_fdr0.05 dlpfc_mQTL rosmap all all2
24 1e-08 10.2773 0 16 94260 25 1513647 rosmap_mQTL_fdr0.05 dlpfc_mQTL rosmap all all2
25 0.1 1.18008 -1 471 3813 158441 1513647 rosmap_sQTL_fdr0.05 dlpfc_sQTL rosmap all all2
25 0.01 1.77705 -1 80 3813 17871 1513647 rosmap_sQTL_fdr0.05 dlpfc_sQTL rosmap all all2
25 0.001 3.1453 -1 19 3813 2398 1513647 rosmap_sQTL_fdr0.05 dlpfc_sQTL rosmap all all2
25 0.0001 6.40274 -1 7 3813 434 1513647 rosmap_sQTL_fdr0.05 dlpfc_sQTL rosmap all all2
25 1e-05 13.2323 0.00379219 5 3813 150 1513647 rosmap_sQTL_fdr0.05 dlpfc_sQTL rosmap all all2
25 1e-06 21.4578 0.00291121 4 3813 74 1513647 rosmap_sQTL_fdr0.05 dlpfc_sQTL rosmap all all2
25 1e-07 30.5362 0.00545554 3 3813 39 1513647 rosmap_sQTL_fdr0.05 dlpfc_sQTL rosmap all all2
25 1e-08 47.6364 0.000725374 3 3813 25 1513647 rosmap_sQTL_fdr0.05 dlpfc_sQTL rosmap all all2
