Index PThresh FE EmpPval NAnnotThesh NAnnot NThresh N Annotation Celltype Tissue Type Category
14 0.0001 5.16555 -1 31 4241 372 262885 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
14 1e-05 9.96213 0 18 4241 112 262885 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
14 1e-06 8.40496 0.0106157 8 4241 59 262885 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
14 1e-07 3.7951 0.366337 3 4241 49 262885 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
14 1e-08 4.42761 0.425743 3 4241 42 262885 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
15 0.1 1.54073 -1 5055 12704 67892 262885 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
15 0.01 2.12889 -1 1197 12704 11635 262885 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
15 0.001 2.95304 -1 271 12704 1899 262885 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
15 0.0001 4.50575 -1 81 12704 372 262885 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
15 1e-05 6.28183 1e-05 34 12704 112 262885 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
15 1e-06 5.96242 0.00826446 17 12704 59 262885 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
15 1e-07 6.33462 0.00464684 15 12704 49 262885 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
15 1e-08 6.8977 0.00540541 14 12704 42 262885 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
16 0.1 1.52029 -1 5485 13970 67892 262885 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
16 0.01 2.13813 -1 1322 13970 11635 262885 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
16 0.001 2.8638 -1 289 13970 1899 262885 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
16 0.0001 4.14801 -1 82 13970 372 262885 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
16 1e-05 5.37652 0.000558628 32 13970 112 262885 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
16 1e-06 6.37892 0.00106792 20 13970 59 262885 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
16 1e-07 6.91267 0.000787774 18 13970 49 262885 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
16 1e-08 7.16869 0.00101885 16 13970 42 262885 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
17 0.1 1.61415 -1 3638 8727 67892 262885 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
17 0.01 2.40002 -1 927 8727 11635 262885 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
17 0.001 3.45806 -1 218 8727 1899 262885 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
17 0.0001 5.02053 -1 62 8727 372 262885 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
17 1e-05 8.33767 0 31 8727 112 262885 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
17 1e-06 8.67956 0.000219044 17 8727 59 262885 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
17 1e-07 7.37711 0.0179856 12 8727 49 262885 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
17 1e-08 7.17219 0.0198807 10 8727 42 262885 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
18 0.1 1.27237 -1 6201 18871 67892 262885 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
18 0.01 1.6439 -1 1373 18871 11635 262885 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
18 0.001 2.20073 -1 300 18871 1899 262885 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
18 0.0001 3.14563 -1 84 18871 372 262885 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
18 1e-05 5.22399 0 42 18871 112 262885 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
18 1e-06 4.72225 8e-05 20 18871 59 262885 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
18 1e-07 4.26448 0.0026688 15 18871 49 262885 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
18 1e-08 4.31186 0.00424809 13 18871 42 262885 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
19 0.1 -nan -1 0 0 67892 262885 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
19 0.01 -nan -1 0 0 11635 262885 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
19 0.001 -nan -1 0 0 1899 262885 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
19 0.0001 -nan -1 0 0 372 262885 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
19 1e-05 -nan 1 0 0 112 262885 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
19 1e-06 -nan 1 0 0 59 262885 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
19 1e-07 -nan 1 0 0 49 262885 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
19 1e-08 -nan 1 0 0 42 262885 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
20 0.1 1.29995 -1 5437 16195 67892 262885 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
20 0.01 1.6072 -1 1152 16195 11635 262885 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
20 0.001 2.00876 -1 235 16195 1899 262885 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
20 0.0001 2.96723 -1 68 16195 372 262885 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
20 1e-05 4.49292 2e-05 31 16195 112 262885 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
20 1e-06 4.67716 0.000773216 17 16195 59 262885 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
20 1e-07 4.63785 0.00507099 14 16195 49 262885 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
20 1e-08 4.63785 0.00757002 12 16195 42 262885 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
21 0.1 1.78205 -1 405 880 67892 262885 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
21 0.01 2.46484 -1 96 880 11635 262885 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
21 0.001 4.09008 -1 26 880 1899 262885 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
21 0.0001 8.8335 -1 11 880 372 262885 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
21 1e-05 8.00178 0.138614 3 880 112 262885 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
21 1e-06 5.06327 0.594059 1 880 59 262885 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
21 1e-07 6.09659 0.455446 1 880 49 262885 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
21 1e-08 0 1 0 880 42 262885 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
22 0.1 1.21399 -1 4568 14570 67892 262885 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
22 0.01 1.28091 -1 826 14570 11635 262885 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
22 0.001 1.23516 -1 130 14570 1899 262885 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
22 0.0001 0.873043 -1 18 14570 372 262885 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
22 1e-05 0.644389 0.990099 4 14570 112 262885 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
22 1e-06 0.611624 0.960396 2 14570 59 262885 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
22 1e-07 0.368222 0.990099 1 14570 49 262885 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
22 1e-08 0.429593 0.990099 1 14570 42 262885 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
23 0.1 1.67436 -1 2732 6318 67892 262885 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
23 0.01 2.32094 -1 649 6318 11635 262885 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
23 0.001 3.04562 -1 139 6318 1899 262885 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
23 0.0001 5.03333 -1 45 6318 372 262885 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
23 1e-05 6.68714 0.00280741 18 6318 112 262885 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
23 1e-06 7.05236 0.0120337 10 6318 59 262885 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
23 1e-07 6.79329 0.025641 8 6318 49 262885 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
23 1e-08 6.93482 0.0315457 7 6318 42 262885 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
24 0.1 1.62823 -1 201 478 67892 262885 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
24 0.01 2.31615 -1 49 478 11635 262885 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
24 0.001 3.76492 -1 13 478 1899 262885 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
24 0.0001 7.39205 -1 5 478 372 262885 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
24 1e-05 9.82087 0.178218 2 478 112 262885 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
24 1e-06 9.3215 0.306931 1 478 59 262885 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
24 1e-07 11.2238 0.247525 1 478 49 262885 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
24 1e-08 0 1 0 478 42 262885 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
