Locus,Cell_type,Assay,Count,Celltype_Assay,background,Study,Gene_Symbol,CTCF,Distance_To_TSS,Annotation
IP6K2,brain,HiChIP_FitHiChIP,4,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
KCNIP3,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
KRTCAP2,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
LRRK2,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
NUCKS1,brain,HiChIP_FitHiChIP,5,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
RIT2,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
RNF141,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
SETD1A,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
SYT17,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
TMEM175,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
UBAP2,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
ATP6V0A1,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
BIN3,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
CASC16,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
CHD9,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
CRLS1,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
CTSB,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
DLG2,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
DNAH17,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
DYRK1A,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
GALC,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
GBF1,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
ITPKB,brain,HiChIP_FitHiChIP,4,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
MBNL2,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
MCCC1,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
MED12L,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
MEX3C,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
NOD2,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
RETREG3,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
RPS6KL1,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
SH3GL2,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
SIPA1L2,brain,HiChIP_FitHiChIP,3,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
SLC2A13,brain,HiChIP_FitHiChIP,4,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
SNCA,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
WNT3,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
INPP5F,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
CD19,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
LINC00693,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
BST1,brain,HiChIP_FitHiChIP,2,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
FAM49B,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
GPNMB,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
SPTSSB,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
STK39,brain,HiChIP_FitHiChIP,1,brain_HiChIP_FitHiChIP,,Corces et al. (2020),,,,
