Index PThresh FE EmpPval NAnnotThesh NAnnot NThresh N Annotation Celltype Tissue Type Category
16 0.001 13.8251 -1 973 13422 7384 1408205 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
16 0.0001 23.3862 -1 438 13422 1965 1408205 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
16 1e-05 31.2965 0 210 13422 704 1408205 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
16 1e-06 37.6817 0 102 13422 284 1408205 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
16 1e-07 42.3581 0 65 13422 161 1408205 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
16 1e-08 50.6906 0 43 13422 89 1408205 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
17 0.1 2.75995 -1 4197 8223 260419 1408205 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
17 0.01 6.89716 -1 1582 8223 39280 1408205 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
17 0.001 14.7039 -1 634 8223 7384 1408205 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
17 0.0001 24.9252 -1 286 8223 1965 1408205 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
17 1e-05 36.0018 0 148 8223 704 1408205 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
17 1e-06 44.622 0 74 8223 284 1408205 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
17 1e-07 53.1838 0 50 8223 161 1408205 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
17 1e-08 67.3463 0 35 8223 89 1408205 fairfax_cis_fdr0.05 mono eQTL fairfax1 fairfax
18 0.1 2.11728 -1 8154 20825 260419 1408205 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
18 0.01 4.15056 -1 2411 20825 39280 1408205 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
18 0.001 7.01484 -1 766 20825 7384 1408205 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
18 0.0001 11.5627 -1 336 20825 1965 1408205 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
18 1e-05 15.2723 0 159 20825 704 1408205 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
18 1e-06 17.8576 0 75 20825 284 1408205 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
18 1e-07 19.3203 0 46 20825 161 1408205 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
18 1e-08 27.3523 0 36 20825 89 1408205 immvar_cd14_eQTL_p1e-3 mono eQTL immvar1 immvar
19 0.1 -nan -1 0 0 260419 1408205 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
19 0.01 -nan -1 0 0 39280 1408205 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
19 0.001 -nan -1 0 0 7384 1408205 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
19 0.0001 -nan -1 0 0 1965 1408205 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
19 1e-05 -nan 1 0 0 704 1408205 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
19 1e-06 -nan 1 0 0 284 1408205 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
19 1e-07 -nan 1 0 0 161 1408205 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
19 1e-08 -nan 1 0 0 89 1408205 immvar_cd14_sQTL_p1e-12 mono sQTL immvar1 immvar
20 0.1 2.15274 -1 7062 17739 260419 1408205 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
